Paddyfield warbler
Manchurian reed warbler
Blunt-winged warbler
Eurasian reed warbler
African reed warbler
Blyth's reed warbler
Marsh warbler
Great reed warbler
Oriental reed warbler
Clamorous reed warbler
Large-billed reed warbler
Basra reed warbler
Australian reed warbler
Nightingale reed warbler
Saipan reed warbler
Aguiguan reed warbler
Mangareva reed warbler
Pagan reed warbler
Carolinian reed warbler
Nauru reed warbler
Millerbird
Bokikokiko
Tahiti reed warbler
Garrett's reed warbler
Tuamotu reed warbler
Rimatara reed warbler
Pitcairn reed warbler
Henderson reed warbler
Northern Marquesan reed warbler
Southern Marquesan reed warbler
Cook reed warbler
Greater swamp warbler
Cape Verde warbler
Lesser swamp warbler
Madagascar swamp warbler
Rodrigues warbler
Seychelles warbler
Thick-billed warbler
Booted warbler
Sykes's warbler
Eastern olivaceous warbler
Western olivaceous warbler
African yellow warbler
Mountain yellow warbler
Upcher's warbler
Olive-tree warbler
Melodious warbler
Icterine warbler
Papyrus yellow warbler
Grauer's warbler
Aldabra brush warbler
Anjouan brush warbler
Malagasy brush warbler
Grand Comoro brush warbler
Moheli brush warbler
Subdesert brush warbler
Ploceidae weavers
White-billed buffalo weaver
Red-billed buffalo weaver
White-headed buffalo weaver
White-browed sparrow-weaver
Chestnut-crowned sparrow-weaver
Donaldson Smith's sparrow-weaver
Chestnut-backed sparrow-weaver
Rufous-tailed weaver
Grey-capped social weaver
Black-capped social weaver
Sociable weaver
Thick-billed weaver
Scaly-feathered weaver
Speckle-fronted weaver
Baglafecht weaver
Bannerman's weaver
Bates's weaver
Black-chinned weaver
Bertram's weaver
Slender-billed weaver
Loango weaver
Little weaver
Spectacled weaver
Black-necked weaver
Strange weaver
Black-billed weaver
Cape weaver
Bocage's weaver
Holub's golden weaver
Eastern golden weaver
Orange weaver
Heuglin's masked weaver
Golden palm weaver
Taveta weaver
Príncipe weaver
Northern brown-throated weaver
Southern brown-throated weaver
Kilombero weaver
Rüppell's weaver
Northern masked weaver
Lesser masked weaver
Southern masked weaver
Katanga masked weaver
Lufira masked weaver
Tanzanian masked weaver
Vitelline masked weaver
Speke's weaver
Fox's weaver
Village weaver
Giant weaver
Vieillot's black weaver
Weyns's weaver
Clarke's weaver
Juba weaver
Black-headed weaver
Golden-backed weaver
Cinnamon weaver
Chestnut weaver
Golden-naped weaver
Yellow-mantled weaver
Maxwell's black weaver
Nelicourvi weaver
Sakalava weaver
Asian golden weaver
Compact weaver
Black-breasted weaver
Streaked weaver
Baya weaver
Finn's weaver
Dark-backed weaver
Preuss's weaver
Yellow-capped weaver
Olive-headed weaver
Brown-capped weaver
Usambara weaver
Bar-winged weaver
São Tomé weaver
Yellow-legged weaver
Red-crowned malimbe
Cassin's malimbe
Rachel's malimbe
Gola malimbe
Red-vented malimbe
Ibadan malimbe
Blue-billed malimbe
Red-headed malimbe
Red-bellied malimbe
Crested malimbe
Red-headed weaver
Red-billed quelea
Red-headed quelea
Cardinal quelea
Bob-tailed weaver
Red fody
Comoros fody
Aldabra fody
Seychelles fody
Forest fody
Mauritius fody
Rodrigues fody
Réunion fody
Fire-fronted bishop
Yellow-crowned bishop
Zanzibar red bishop
Black bishop
Black-winged red bishop
Southern red bishop
Northern red bishop
Golden-backed bishop
Yellow bishop
Fan-tailed widowbird
Yellow-mantled widowbird
Marsh widowbird
Marsh widowbird
White-winged widowbird
Red-collared widowbird
Long-tailed widowbird
Jackson's widowbird
Cettiidae
Rufous-faced warbler
Black-faced warbler
Yellow-bellied warbler
Asian stubtail
Timor stubtail
Bornean stubtail
Pale-footed bush warbler
Neumann's warbler
Russet-capped tesia
Slaty-bellied tesia
Grey-bellied tesia
Javan tesia
Manchurian bush warbler
Japanese bush warbler
Philippine bush warbler
Palau bush warbler
Shade bush warbler
Bougainville bush warbler
Fiji bush warbler
Tanimbar bush warbler
Brown-flanked bush warbler
Sunda bush warbler
Aberrant bush warbler
Yellow-bellied bush warbler
Hume's bush warbler
Cetti's warbler
Grey-sided bush warbler
Chestnut-headed tesia
Broad-billed warbler
Chestnut-crowned bush warbler
Mountain tailorbird
Rufous-headed tailorbird
Pellorneidae jungle babblers
Puff-throated babbler
Rufous-vented grass babbler
Swamp grass babbler
Golden-fronted fulvetta
Yellow-throated fulvetta
Rufous-winged fulvetta
Black-crowned fulvetta
Rufous-throated fulvetta
Rusty-capped fulvetta
Dusky fulvetta
Brown fulvetta
Brown-cheeked fulvetta
Javan fulvetta
Mountain fulvetta
Black-browed fulvetta
Grey-cheeked fulvetta
David's fulvetta
Yunnan fulvetta
Huet's fulvetta
Nepal fulvetta
Falcated wren-babbler
Bornean wren-babbler
Striated wren-babbler
Rusty-breasted wren-babbler
Black-throated wren-babbler
Large wren-babbler
Marbled wren-babbler
Limestone wren-babbler
Streaked wren-babbler
Mountain wren-babbler
Eyebrowed wren-babbler
White-hooded babbler
Collared babbler
Spotted thrush-babbler
Blackcap illadopsis
Rufous-winged illadopsis
Puvel's illadopsis
Pale-breasted illadopsis
Brown illadopsis
Mountain illadopsis
Scaly-breasted illadopsis
Short-tailed scimitar babbler
Naung Mung scimitar babbler
Long-billed wren-babbler
White-throated wren-babbler
Sumatran wren-babbler
Abbott's babbler
Horsfield's babbler
Black-browed babbler
Short-tailed babbler
Ashy-headed babbler
Grey-breasted babbler
Moustached babbler
Sooty-capped babbler
Scaly-crowned babbler
Rufous-crowned babbler
Melodious babbler
White-chested babbler
Sulawesi babbler
Ferruginous babbler
Striped wren-babbler
Indian grassbird
Chinese grassbird
Black-capped babbler
Brown-capped babbler
Buff-breasted babbler
Sumatran babbler
Temminck's babbler
Spot-throated babbler
Marsh babbler
Cisticolidae
Green jery
Stripe-throated jery
Common jery
Red-faced cisticola
Singing cisticola
Whistling cisticola
